validation_scheme,outer_fold,model,feature,importance
group_cv,2,random_forest,order_8_16_mean,0.028075646182569178
group_cv,2,random_forest,order_8_16_std,0.11743215212612625
group_cv,3,random_forest,amp_rms_mean,0.013245986170305523
group_cv,3,random_forest,amp_rms_std,0.009707525780280293
group_cv,3,random_forest,amp_peak_mean,0.022955023882783008
group_cv,3,random_forest,amp_peak_std,0.00643990827312179
group_cv,3,random_forest,shape_skew_mean,0.0036826290210830747
group_cv,3,random_forest,shape_skew_std,0.003933895724541143
group_cv,3,random_forest,shape_kurtosis_mean,0.012424712094178895
group_cv,3,random_forest,shape_kurtosis_std,0.004717003412981756
group_cv,3,random_forest,shape_crest_mean,0.013690957166797824
group_cv,3,random_forest,shape_crest_std,0.0031768924485867365
group_cv,3,random_forest,zcr_mean,0.026801680155664212
group_cv,3,random_forest,zcr_std,0.004424224269381722
group_cv,3,random_forest,psd_centroid_mean,0.012281606980499711
group_cv,3,random_forest,psd_centroid_std,0.004219558846391048
group_cv,3,random_forest,psd_bandwidth_mean,0.022411373184979662
group_cv,3,random_forest,psd_bandwidth_std,0.007775825753116821
group_cv,3,random_forest,psd_entropy_mean,0.003473144046170834
group_cv,3,random_forest,psd_entropy_std,0.009002237722163246
group_cv,3,random_forest,psd_peak_ratio_mean,0.020016413724226148
group_cv,3,random_forest,psd_peak_ratio_std,0.004375468113788457
group_cv,3,random_forest,env_rms_mean,0.013747022924770884
group_cv,3,random_forest,env_rms_std,0.0027758274343033084
group_cv,3,random_forest,env_kurtosis_mean,0.016771154181209273
group_cv,3,random_forest,env_kurtosis_std,0.005729111730378647
group_cv,3,random_forest,env_entropy_mean,0.02671812135967204
group_cv,3,random_forest,env_entropy_std,0.0037647159267028747
group_cv,3,random_forest,env_peak_ratio_mean,0.027635752721899085
group_cv,3,random_forest,env_peak_ratio_std,0.004805692096740004
group_cv,3,random_forest,psd_0_500_mean,0.01297987623837443
group_cv,3,random_forest,psd_0_500_std,0.03165520294082929
group_cv,3,random_forest,env_0_500_mean,0.013211644757027897
group_cv,3,random_forest,env_0_500_std,0.04345301079155603
group_cv,3,random_forest,psd_500_1000_mean,0.03155842676669141
group_cv,3,random_forest,psd_500_1000_std,0.008028524276775612
group_cv,3,random_forest,env_500_1000_mean,0.02011009876585915
group_cv,3,random_forest,env_500_1000_std,0.058472771744410616
group_cv,3,random_forest,psd_1000_2000_mean,0.006107606946995351
group_cv,3,random_forest,psd_1000_2000_std,0.005481646746828201
group_cv,3,random_forest,env_1000_2000_mean,0.004471674013242106
group_cv,3,random_forest,env_1000_2000_std,0.018659273717309917
group_cv,3,random_forest,env_2000_4000_mean,0.02092528645816865
group_cv,3,random_forest,env_2000_4000_std,0.08015799192050922
group_cv,3,random_forest,psd_4000_8000_mean,0.022651812138350717
group_cv,3,random_forest,psd_4000_8000_std,0.03012357555188198
group_cv,3,random_forest,order_0.5_2_mean,0.0018595706907547787
group_cv,3,random_forest,order_0.5_2_std,0.005252019023749411
group_cv,3,random_forest,order_2_4_mean,0.00903682021541917
group_cv,3,random_forest,order_2_4_std,0.036863127677954105
group_cv,3,random_forest,order_4_8_mean,0.11303588413068605
group_cv,3,random_forest,order_4_8_std,0.020573167414838105
group_cv,3,random_forest,order_8_16_mean,0.025812160310575864
group_cv,3,random_forest,order_8_16_std,0.0688153616144941
group_cv,4,random_forest,amp_rms_mean,0.027755705692775978
group_cv,4,random_forest,amp_rms_std,0.009915664532504894
group_cv,4,random_forest,amp_peak_mean,0.03552046761250273
group_cv,4,random_forest,amp_peak_std,0.010211856665688452
group_cv,4,random_forest,shape_skew_mean,0.0072258752794551835
group_cv,4,random_forest,shape_skew_std,0.002006315421348624
group_cv,4,random_forest,shape_kurtosis_mean,0.022194147370778624
group_cv,4,random_forest,shape_kurtosis_std,0.0047958912090853905
group_cv,4,random_forest,shape_crest_mean,0.015487731285929698
group_cv,4,random_forest,shape_crest_std,0.01026367768984008
group_cv,4,random_forest,zcr_mean,0.027149598992545997
group_cv,4,random_forest,zcr_std,0.005061966167097403
group_cv,4,random_forest,psd_centroid_mean,0.018865680358319585
group_cv,4,random_forest,psd_centroid_std,0.013826326236012612
group_cv,4,random_forest,psd_bandwidth_mean,0.02078455319776141
group_cv,4,random_forest,psd_bandwidth_std,0.01816867482808944
group_cv,4,random_forest,psd_entropy_mean,0.004012112141925327
group_cv,4,random_forest,psd_entropy_std,0.007275284963372186
group_cv,4,random_forest,psd_peak_ratio_mean,0.015569571865016556
group_cv,4,random_forest,psd_peak_ratio_std,0.01384143278154616
group_cv,4,random_forest,env_rms_mean,0.026299087505472864
group_cv,4,random_forest,env_rms_std,0.007336194761986624
group_cv,4,random_forest,env_kurtosis_mean,0.027393883722123966
group_cv,4,random_forest,env_kurtosis_std,0.0028117175786877145
group_cv,4,random_forest,env_entropy_mean,0.023770779407173873
group_cv,4,random_forest,env_entropy_std,0.007721104878454555
group_cv,4,random_forest,env_peak_ratio_mean,0.04079355881772763
group_cv,4,random_forest,env_peak_ratio_std,0.004114658581812585
group_cv,4,random_forest,psd_0_500_mean,0.019626448098982244
group_cv,4,random_forest,psd_0_500_std,0.025943397213595218
group_cv,4,random_forest,env_0_500_mean,0.02078566206879878
group_cv,4,random_forest,env_0_500_std,0.022680883386837325
group_cv,4,random_forest,psd_500_1000_mean,0.018522985210751172
group_cv,4,random_forest,psd_500_1000_std,0.011962681808187273
group_cv,4,random_forest,env_500_1000_mean,0.01992613006176335
group_cv,4,random_forest,env_500_1000_std,0.015243647049415377
group_cv,4,random_forest,psd_1000_2000_mean,0.010677766991170696
group_cv,4,random_forest,psd_1000_2000_std,0.03595142388028946
group_cv,4,random_forest,env_1000_2000_mean,0.0074727155935770005
group_cv,4,random_forest,env_1000_2000_std,0.03192230327633749
group_cv,4,random_forest,env_2000_4000_mean,0.02243975206769815
group_cv,4,random_forest,env_2000_4000_std,0.04319376626545463
group_cv,4,random_forest,psd_4000_8000_mean,0.0292014690291001
group_cv,4,random_forest,psd_4000_8000_std,0.02081084112411441
group_cv,4,random_forest,order_0.5_2_mean,0.012409461213726146
group_cv,4,random_forest,order_0.5_2_std,0.013061343700357055
group_cv,4,random_forest,order_2_4_mean,0.024860676906197633
group_cv,4,random_forest,order_2_4_std,0.030587861161307288
group_cv,4,random_forest,order_4_8_mean,0.03609930569700987
group_cv,4,random_forest,order_4_8_std,0.013688349284975457
group_cv,4,random_forest,order_8_16_mean,0.03205971158866427
group_cv,4,random_forest,order_8_16_std,0.0506978977766534
